MISDEMEANOR DANGEROUS DRUGS	96590.0	75766.0	77048.0	70185.0	59671.0	61076.0	65945.0	77212.0	76286.0	79302.0	79908.0	80462.0
MISDEMEANOR DANGEROUS WEAPONS	3387.0	3718.0	4056.0	4651.0	5173.0	6170.0	7097.0	7734.0	7654.0	8367.0	8716.0	8601.0
MISDEMEANOR DANGEROUS WEAPONS	3387.0	3718.0	4056.0	4651.0	5173.0	6170.0	7097.0	7734.0	7654.0	8367.0	8716.0	8601.0
MISDEMEANOR DANGEROUS WEAPONS	3387.0	3718.0	4056.0	4651.0	5173.0	6170.0	7097.0	7734.0	7654.0	8367.0	8716.0	8601.0
MISDEMEANOR DANGEROUS WEAPONS	3387.0	3718.0	4056.0	4651.0	5173.0	6170.0	7097.0	7734.0	7654.0	8367.0	8716.0	8601.0
PETIT LARCENY	93785.0	92941.0	90456.0	85494.0	84047.0	82131.0	81031.0	80237.0	83113.0	80928.0	81522.0	81160.0
PETIT LARCENY	93785.0	92941.0	90456.0	85494.0	84047.0	82131.0	81031.0	80237.0	83113.0	80928.0	81522.0	81160.0
PETIT LARCENY	93785.0	92941.0	90456.0	85494.0	84047.0	82131.0	81031.0	80237.0	83113.0	80928.0	81522.0	81160.0
PETIT LARCENY	93785.0	92941.0	90456.0	85494.0	84047.0	82131.0	81031.0	80237.0	83113.0	80928.0	81522.0	81160.0
ASSAULT & RELATED OFFENSES	57304.0	57753.0	52469.0	51298.0	52158.0	52408.0	52169.0	51429.0	50310.0	50216.0	52716.0	50972.0
ASSAULT & RELATED OFFENSES	57304.0	57753.0	52469.0	51298.0	52158.0	52408.0	52169.0	51429.0	50310.0	50216.0	52716.0	50972.0
ASSAULT & RELATED OFFENSES	57304.0	57753.0	52469.0	51298.0	52158.0	52408.0	52169.0	51429.0	50310.0	50216.0	52716.0	50972.0
ASSAULT & RELATED OFFENSES	57304.0	57753.0	52469.0	51298.0	52158.0	52408.0	52169.0	51429.0	50310.0	50216.0	52716.0	50972.0
INTOXICATED & IMPAIRED DRIVING	4162.0	4099.0	4486.0	5203.0	7294.0	7372.0	7601.0	8659.0	8284.0	7700.0	6691.0	6027.0
INTOXICATED & IMPAIRED DRIVING	4162.0	4099.0	4486.0	5203.0	7294.0	7372.0	7601.0	8659.0	8284.0	7700.0	6691.0	6027.0
INTOXICATED & IMPAIRED DRIVING	4162.0	4099.0	4486.0	5203.0	7294.0	7372.0	7601.0	8659.0	8284.0	7700.0	6691.0	6027.0
INTOXICATED & IMPAIRED DRIVING	4162.0	4099.0	4486.0	5203.0	7294.0	7372.0	7601.0	8659.0	8284.0	7700.0	6691.0	6027.0
VEHICLE AND TRAFFIC LAWS	13717.0	11197.0	8905.0	7916.0	7112.0	6275.0	5989.0	5542.0	5228.0	6178.0	6624.0	5802.0
VEHICLE AND TRAFFIC LAWS	13717.0	11197.0	8905.0	7916.0	7112.0	6275.0	5989.0	5542.0	5228.0	6178.0	6624.0	5802.0
VEHICLE AND TRAFFIC LAWS	13717.0	11197.0	8905.0	7916.0	7112.0	6275.0	5989.0	5542.0	5228.0	6178.0	6624.0	5802.0
VEHICLE AND TRAFFIC LAWS	13717.0	11197.0	8905.0	7916.0	7112.0	6275.0	5989.0	5542.0	5228.0	6178.0	6624.0	5802.0
MISD. CRIMINAL MISCHIEF & RELATED OFFENSES	48791.0	44954.0	43025.0	43222.0	42550.0	42304.0	45832.0	48956.0	49099.0	45770.0	44930.0	42995.0
MISD. CRIMINAL MISCHIEF & RELATED OFFENSES	48791.0	44954.0	43025.0	43222.0	42550.0	42304.0	45832.0	48956.0	49099.0	45770.0	44930.0	42995.0
MISD. CRIMINAL MISCHIEF & RELATED OFFENSES	48791.0	44954.0	43025.0	43222.0	42550.0	42304.0	45832.0	48956.0	49099.0	45770.0	44930.0	42995.0
MISD. CRIMINAL MISCHIEF & RELATED OFFENSES	48791.0	44954.0	43025.0	43222.0	42550.0	42304.0	45832.0	48956.0	49099.0	45770.0	44930.0	42995.0
CRIMINAL TRESPASS	14053.0	11262.0	11442.0	13204.0	12495.0	13376.0	14241.0	16306.0	18734.0	20904.0	19858.0	18297.0
CRIMINAL TRESPASS	14053.0	11262.0	11442.0	13204.0	12495.0	13376.0	14241.0	16306.0	18734.0	20904.0	19858.0	18297.0
CRIMINAL TRESPASS	14053.0	11262.0	11442.0	13204.0	12495.0	13376.0	14241.0	16306.0	18734.0	20904.0	19858.0	18297.0
CRIMINAL TRESPASS	14053.0	11262.0	11442.0	13204.0	12495.0	13376.0	14241.0	16306.0	18734.0	20904.0	19858.0	18297.0
UNAUTHORIZED USE OF A VEHICLE	1811.0	1976.0	1816.0	1530.0	1510.0	1351.0	1305.0	1312.0	1170.0	1181.0	1274.0	1285.0
UNAUTHORIZED USE OF A VEHICLE	1811.0	1976.0	1816.0	1530.0	1510.0	1351.0	1305.0	1312.0	1170.0	1181.0	1274.0	1285.0
UNAUTHORIZED USE OF A VEHICLE	1811.0	1976.0	1816.0	1530.0	1510.0	1351.0	1305.0	1312.0	1170.0	1181.0	1274.0	1285.0
UNAUTHORIZED USE OF A VEHICLE	1811.0	1976.0	1816.0	1530.0	1510.0	1351.0	1305.0	1312.0	1170.0	1181.0	1274.0	1285.0
OFFENSES AGAINST THE PERSON	1159.0	1160.0	1058.0	957.0	1216.0	1148.0	1145.0	1287.0	1149.0	1122.0	1205.0	1207.0
OFFENSES AGAINST THE PERSON	1159.0	1160.0	1058.0	957.0	1216.0	1148.0	1145.0	1287.0	1149.0	1122.0	1205.0	1207.0
OFFENSES AGAINST THE PERSON	1159.0	1160.0	1058.0	957.0	1216.0	1148.0	1145.0	1287.0	1149.0	1122.0	1205.0	1207.0
OFFENSES AGAINST THE PERSON	1159.0	1160.0	1058.0	957.0	1216.0	1148.0	1145.0	1287.0	1149.0	1122.0	1205.0	1207.0
OFFENSES AGAINST PUBLIC ADMINISTRATION	8530.0	9023.0	8425.0	8220.0	8896.0	9263.0	10398.0	10523.0	10368.0	11217.0	11129.0	11067.0
OFFENSES AGAINST PUBLIC ADMINISTRATION	8530.0	9023.0	8425.0	8220.0	8896.0	9263.0	10398.0	10523.0	10368.0	11217.0	11129.0	11067.0
OFFENSES AGAINST PUBLIC ADMINISTRATION	8530.0	9023.0	8425.0	8220.0	8896.0	9263.0	10398.0	10523.0	10368.0	11217.0	11129.0	11067.0
OFFENSES AGAINST PUBLIC ADMINISTRATION	8530.0	9023.0	8425.0	8220.0	8896.0	9263.0	10398.0	10523.0	10368.0	11217.0	11129.0	11067.0
ADMINISTRATIVE CODE (6) 	1630.0	1557.0	1266.0	1121.0	1097.0	1151.0	1021.0	935.0	1002.0	1010.0	975.0	982.0
ADMINISTRATIVE CODE (6) 	1630.0	1557.0	1266.0	1121.0	1097.0	1151.0	1021.0	935.0	1002.0	1010.0	975.0	982.0
ADMINISTRATIVE CODE (6) 	1630.0	1557.0	1266.0	1121.0	1097.0	1151.0	1021.0	935.0	1002.0	1010.0	975.0	982.0
ADMINISTRATIVE CODE (6) 	1630.0	1557.0	1266.0	1121.0	1097.0	1151.0	1021.0	935.0	1002.0	1010.0	975.0	982.0
FRAUDS	8545.0	10267.0	6452.0	6917.0	6132.0	4900.0	4682.0	4384.0	4795.0	5155.0	5422.0	5180.0
FRAUDS	8545.0	10267.0	6452.0	6917.0	6132.0	4900.0	4682.0	4384.0	4795.0	5155.0	5422.0	5180.0
FRAUDS	8545.0	10267.0	6452.0	6917.0	6132.0	4900.0	4682.0	4384.0	4795.0	5155.0	5422.0	5180.0
