2015	other felonies	6949
2016	other felonies	4264
2006	other violations	433
2007	other violations	418
2008	other violations	578
2009	other violations	590
2010	other violations	590
2011	other violations	550
2012	other violations	437
2013	other violations	408
2014	other violations	499
2015	other violations	572
2016	other violations	322
